epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.309,1.71433,1.83466,1.6023,0.95845,0.90696,0.94984,0.58715,1.30119,0.8688,1.32391,0.0670594,0.000332734,0.000332734
2,315.481,1.56306,1.2699,1.50584,0.9508,0.92698,0.95082,0.49691,1.63441,0.84187,1.45389,0.0340592,0.000665903,0.000665903
3,469.332,1.48108,1.16106,1.46992,0.98142,0.93521,0.96441,0.63312,1.25453,0.69104,1.28577,0.00105837,0.000998415,0.000998415
4,633.519,1.44896,1.08116,1.45283,0.98215,0.94029,0.96692,0.63247,1.221,0.64039,1.2409,0.000997781,0.000997781,0.000997781
5,788.854,1.4249,1.05212,1.43084,0.97826,0.93503,0.96678,0.66456,1.12823,0.64465,1.22029,0.000996058,0.000996058,0.000996058
6,950.337,1.38693,0.9809,1.40047,0.98045,0.95281,0.9736,0.59897,1.35219,0.62921,1.29272,0.000993845,0.000993845,0.000993845
7,1105.67,1.36734,0.9596,1.39799,0.97784,0.93779,0.97317,0.67092,1.17162,0.62579,1.24024,0.000991145,0.000991145,0.000991145
8,1262.9,1.32407,0.92117,1.35956,0.98868,0.95172,0.97645,0.69244,1.12797,0.56278,1.1808,0.00098796,0.00098796,0.00098796
9,1426.66,1.31203,0.90619,1.34535,0.99015,0.95222,0.97738,0.70875,1.04477,0.54768,1.16111,0.000984293,0.000984293,0.000984293
10,1586.59,1.30385,0.88876,1.33957,0.9831,0.95079,0.97631,0.71499,1.00191,0.50469,1.15239,0.000980149,0.000980149,0.000980149
11,1750.6,1.28435,0.87106,1.32857,0.98657,0.93839,0.96938,0.70354,0.97288,0.53932,1.15265,0.000975531,0.000975531,0.000975531
12,1923.5,1.28221,0.86119,1.34687,0.99237,0.95486,0.97654,0.73255,0.93927,0.48658,1.13105,0.000970443,0.000970443,0.000970443
13,2086.5,1.2512,0.83429,1.31846,0.98787,0.95175,0.97545,0.59904,1.31955,0.57129,1.28217,0.000964892,0.000964892,0.000964892
14,2251.12,1.24281,0.83399,1.31146,0.98862,0.94646,0.97646,0.73864,0.94626,0.53515,1.13446,0.000958881,0.000958881,0.000958881
15,2411.1,1.24206,0.84443,1.31033,0.9819,0.95731,0.97387,0.69973,1.03603,0.51869,1.15225,0.000952418,0.000952418,0.000952418
16,2578.27,1.22467,0.81763,1.30738,0.99281,0.95149,0.97853,0.74711,0.90396,0.48047,1.10156,0.000945509,0.000945509,0.000945509
17,2744.96,1.2141,0.80221,1.29423,0.99128,0.95721,0.97813,0.74736,0.9093,0.46367,1.10268,0.00093816,0.00093816,0.00093816
18,2906.26,1.20795,0.79727,1.28406,0.99394,0.95387,0.97924,0.73725,0.98372,0.49145,1.15363,0.000930378,0.000930378,0.000930378
19,3069.98,1.19363,0.77616,1.27978,0.99244,0.95816,0.97943,0.72597,0.96945,0.4723,1.11095,0.000922172,0.000922172,0.000922172
20,3236.54,1.17526,0.76285,1.26879,0.99131,0.96027,0.98023,0.68741,1.12493,0.49883,1.18092,0.000913549,0.000913549,0.000913549
21,3401.31,1.18578,0.75016,1.27616,0.99591,0.9621,0.98039,0.75983,0.86315,0.44803,1.087,0.000904518,0.000904518,0.000904518
22,3566.23,1.1888,0.77839,1.28071,0.99161,0.9616,0.9814,0.75476,0.90911,0.44958,1.0843,0.000895088,0.000895088,0.000895088
23,3731.43,1.14988,0.74188,1.25263,0.99267,0.95816,0.97996,0.7193,0.98215,0.47007,1.11819,0.000885268,0.000885268,0.000885268
24,3894.6,1.16497,0.75045,1.26047,0.99345,0.96405,0.98179,0.73942,0.94835,0.42757,1.1039,0.000875068,0.000875068,0.000875068
25,4063.67,1.16022,0.74266,1.26229,0.99394,0.96679,0.98499,0.75738,0.9304,0.42824,1.09267,0.000864498,0.000864498,0.000864498
26,4229.96,1.16911,0.75164,1.26594,0.99454,0.96297,0.98373,0.75682,0.89857,0.42958,1.08724,0.000853568,0.000853568,0.000853568
27,4396.47,1.13882,0.72441,1.24374,0.99558,0.95794,0.98313,0.76572,0.88082,0.41757,1.07494,0.000842289,0.000842289,0.000842289
28,4556.16,1.12711,0.71638,1.23544,0.99208,0.96322,0.98514,0.75549,0.93345,0.43325,1.08812,0.000830673,0.000830673,0.000830673
29,4723.23,1.12465,0.72472,1.24413,0.99157,0.96444,0.98394,0.75543,0.91433,0.42426,1.0829,0.00081873,0.00081873,0.00081873
30,4886.58,1.11496,0.72323,1.22832,0.99257,0.95842,0.98287,0.77018,0.87526,0.4277,1.07884,0.000806473,0.000806473,0.000806473
31,5053.14,1.1095,0.705,1.22246,0.99305,0.96261,0.98222,0.75201,0.9138,0.42273,1.09003,0.000793913,0.000793913,0.000793913
32,5216.15,1.12014,0.68929,1.22218,0.99172,0.96703,0.98322,0.76052,0.89574,0.42101,1.08573,0.000781064,0.000781064,0.000781064
33,5380.9,1.09578,0.69609,1.22206,0.99424,0.96525,0.98453,0.77069,0.87188,0.40197,1.0678,0.000767937,0.000767937,0.000767937
34,5543.05,1.11604,0.69657,1.22467,0.9869,0.96151,0.98185,0.7665,0.8687,0.43029,1.06601,0.000754545,0.000754545,0.000754545
35,5703.16,1.08161,0.67965,1.19319,0.99498,0.9642,0.98322,0.7878,0.83152,0.40495,1.05517,0.000740903,0.000740903,0.000740903
36,5868.99,1.09863,0.68602,1.21267,0.98872,0.96645,0.98307,0.78667,0.81225,0.40626,1.04877,0.000727023,0.000727023,0.000727023
37,6029.2,1.09909,0.68939,1.21686,0.99633,0.96633,0.98284,0.77573,0.8619,0.40734,1.05254,0.000712918,0.000712918,0.000712918
38,6190.25,1.06479,0.66358,1.20526,0.99587,0.96607,0.98412,0.76049,0.90096,0.4152,1.0668,0.000698604,0.000698604,0.000698604
39,6350.78,1.08216,0.66727,1.1982,0.99526,0.96764,0.98447,0.76824,0.87504,0.40077,1.05572,0.000684094,0.000684094,0.000684094
40,6522.87,1.07255,0.67216,1.20418,0.99533,0.96633,0.98349,0.76676,0.86901,0.41492,1.05361,0.000669402,0.000669402,0.000669402
41,6687.67,1.08228,0.68057,1.20574,0.99409,0.96905,0.98371,0.76807,0.86587,0.4037,1.04894,0.000654543,0.000654543,0.000654543
42,6858.71,1.05776,0.65143,1.18406,0.99691,0.9653,0.98365,0.79103,0.80739,0.38511,1.03194,0.000639532,0.000639532,0.000639532
43,6996.84,1.05321,0.65169,1.19197,0.99592,0.96314,0.98357,0.7953,0.80726,0.38009,1.03845,0.000624383,0.000624383,0.000624383
44,7118.88,1.0455,0.63967,1.18248,0.99191,0.96795,0.98487,0.76426,0.88763,0.3943,1.06539,0.000609111,0.000609111,0.000609111
45,7230.06,1.07217,0.67337,1.20309,0.99386,0.96331,0.98609,0.78948,0.82535,0.38836,1.04438,0.000593731,0.000593731,0.000593731
46,7340.33,1.06185,0.65508,1.19751,0.99728,0.96661,0.98476,0.80142,0.78772,0.37961,1.02936,0.000578259,0.000578259,0.000578259
47,7444.08,1.04865,0.64737,1.17914,0.99525,0.9688,0.98575,0.78324,0.86431,0.38763,1.05551,0.00056271,0.00056271,0.00056271
48,7549.45,1.04119,0.63513,1.18077,0.9932,0.96794,0.98554,0.79891,0.76855,0.37001,1.01861,0.000547099,0.000547099,0.000547099
49,7650.53,1.05408,0.64905,1.18547,0.99412,0.96796,0.98743,0.81271,0.72611,0.36182,1.00393,0.000531442,0.000531442,0.000531442
50,7754.69,1.03983,0.62665,1.17157,0.99748,0.96521,0.98685,0.81031,0.76317,0.36932,1.0125,0.000515754,0.000515754,0.000515754
51,7877.36,1.02167,0.62117,1.16892,0.99486,0.96752,0.98627,0.80693,0.77162,0.36647,1.01939,0.00050005,0.00050005,0.00050005
52,8010.96,1.01749,0.62179,1.16289,0.99443,0.97093,0.98605,0.77468,0.86188,0.38063,1.05386,0.000484346,0.000484346,0.000484346
53,8164.5,1.0041,0.61332,1.16077,0.99643,0.96776,0.98626,0.77319,0.87398,0.3827,1.06483,0.000468658,0.000468658,0.000468658
54,8317.33,1.01241,0.62007,1.16446,0.99648,0.96693,0.98513,0.80819,0.73867,0.3613,1.00883,0.000453001,0.000453001,0.000453001
55,8470.61,1.02015,0.62389,1.16867,0.99515,0.9659,0.98662,0.81601,0.73434,0.34909,1.00493,0.00043739,0.00043739,0.00043739
56,8620.87,1.00823,0.61856,1.16111,0.99539,0.96631,0.98642,0.8089,0.74117,0.35694,0.99973,0.000421841,0.000421841,0.000421841
57,8770.51,1.00038,0.61455,1.15815,0.99343,0.97167,0.98553,0.81416,0.74827,0.35571,1.00581,0.000406369,0.000406369,0.000406369
58,8920.46,0.99213,0.60947,1.14379,0.99513,0.96898,0.98717,0.80817,0.73726,0.3484,0.99946,0.000390989,0.000390989,0.000390989
59,9072.38,0.99697,0.60695,1.14478,0.99594,0.96655,0.98724,0.82223,0.70216,0.34134,0.98957,0.000375717,0.000375717,0.000375717
60,9227.88,0.98587,0.59709,1.14946,0.9934,0.96862,0.98748,0.81269,0.74743,0.34604,1.00261,0.000360568,0.000360568,0.000360568
61,9377.86,0.99676,0.6116,1.15687,0.99287,0.97196,0.98781,0.82409,0.71338,0.33595,0.98964,0.000345557,0.000345557,0.000345557
62,9540.02,0.9952,0.59642,1.15465,0.99705,0.97176,0.988,0.82447,0.70666,0.33379,0.98569,0.000330698,0.000330698,0.000330698
63,9680.86,0.99218,0.60285,1.14791,0.99718,0.96923,0.98737,0.81908,0.72509,0.33833,0.9925,0.000316006,0.000316006,0.000316006
64,9783.59,0.98455,0.60028,1.14971,0.99656,0.9712,0.98834,0.82421,0.71556,0.33137,0.98727,0.000301496,0.000301496,0.000301496
65,9886.88,0.96935,0.58644,1.14009,0.99522,0.96972,0.98756,0.81726,0.7186,0.34083,0.9923,0.000287182,0.000287182,0.000287182
66,10014.1,0.9763,0.58876,1.15207,0.99653,0.97051,0.98756,0.80712,0.75886,0.34008,0.99646,0.000273077,0.000273077,0.000273077
67,10187,0.96895,0.59162,1.14641,0.99331,0.97175,0.98737,0.81993,0.7262,0.33641,0.98872,0.000259197,0.000259197,0.000259197
68,10299.5,0.97112,0.58371,1.13539,0.99322,0.96874,0.98775,0.82328,0.72764,0.33698,0.98605,0.000245555,0.000245555,0.000245555
69,10412.8,0.95629,0.57919,1.12669,0.99637,0.96862,0.98813,0.81084,0.77544,0.33606,1.00177,0.000232163,0.000232163,0.000232163
70,10524.1,0.97945,0.59255,1.14607,0.9959,0.97137,0.98771,0.81902,0.74217,0.3335,0.99505,0.000219036,0.000219036,0.000219036
71,10646.7,0.96034,0.58265,1.12918,0.99802,0.96729,0.98712,0.82497,0.70559,0.3271,0.97937,0.000206187,0.000206187,0.000206187
72,10743.4,0.96801,0.58769,1.13729,0.99639,0.96972,0.9879,0.84031,0.66117,0.31682,0.96904,0.000193627,0.000193627,0.000193627
73,10836.9,0.9482,0.56856,1.12072,0.99542,0.96933,0.98823,0.80934,0.75064,0.33507,0.99165,0.00018137,0.00018137,0.00018137
