epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.6524,1.83664,2.67473,1.89116,0.47002,0.49308,0.45682,0.12944,2.17742,2.36443,2.0474,0.066893,0.000166367,0.000166367
2,178.989,1.72213,2.09055,1.79935,0.71747,0.73888,0.79355,0.34227,1.79324,1.37816,1.61249,0.0337262,0.000332951,0.000332951
3,266.775,1.67764,1.91714,1.75321,0.70655,0.74877,0.7734,0.35794,1.74047,1.43581,1.64268,0.000559159,0.000499207,0.000499207
4,356.721,1.64042,1.83884,1.74377,0.79976,0.83035,0.91847,0.44488,1.68229,1.26822,1.57295,0.000498891,0.000498891,0.000498891
5,444.949,1.61691,1.76793,1.71381,0.85709,0.88495,0.90627,0.43421,1.63005,1.20917,1.56806,0.000498029,0.000498029,0.000498029
6,536.382,1.60238,1.72016,1.69478,0.84264,0.83361,0.89671,0.46585,1.58525,1.17139,1.51357,0.000496922,0.000496922,0.000496922
7,624.875,1.57731,1.6596,1.66902,0.88282,0.86683,0.91596,0.47166,1.52671,1.246,1.49732,0.000495572,0.000495572,0.000495572
8,711.716,1.54253,1.63155,1.63774,0.96465,0.91973,0.95203,0.54066,1.43383,1.06809,1.42966,0.000493979,0.000493979,0.000493979
9,800.82,1.55022,1.60938,1.64505,0.92785,0.91276,0.94021,0.41403,1.77107,1.12503,1.61236,0.000492146,0.000492146,0.000492146
10,888.296,1.52778,1.56056,1.61155,0.95542,0.91639,0.94463,0.49396,1.55523,0.97348,1.49055,0.000490074,0.000490074,0.000490074
11,973.96,1.53512,1.56493,1.61481,0.91182,0.8947,0.95305,0.54779,1.43728,0.9504,1.40278,0.000487764,0.000487764,0.000487764
12,1063.6,1.51754,1.54261,1.61768,0.97463,0.91574,0.95056,0.53963,1.44723,0.93589,1.41742,0.00048522,0.00048522,0.00048522
13,1148.84,1.49815,1.52516,1.59641,0.95746,0.90994,0.94486,0.53007,1.47298,1.04928,1.44286,0.000482444,0.000482444,0.000482444
14,1234.5,1.48697,1.51087,1.58468,0.97375,0.93547,0.95797,0.52928,1.41981,0.8946,1.39955,0.000479439,0.000479439,0.000479439
15,1318.19,1.46942,1.48087,1.56085,0.984,0.92329,0.95268,0.53739,1.43447,0.86518,1.38772,0.000476207,0.000476207,0.000476207
16,1405.5,1.47813,1.482,1.58468,0.9746,0.92552,0.96053,0.56697,1.35915,0.87992,1.3605,0.000472752,0.000472752,0.000472752
17,1493.07,1.475,1.49533,1.58502,0.963,0.92343,0.95936,0.57291,1.34114,0.9103,1.35431,0.000469077,0.000469077,0.000469077
18,1577.27,1.46202,1.47338,1.56298,0.97386,0.94294,0.95949,0.57615,1.34023,0.88398,1.35468,0.000465186,0.000465186,0.000465186
19,1662.34,1.45585,1.46382,1.55983,0.98158,0.93052,0.95928,0.54641,1.43868,0.8241,1.40716,0.000461082,0.000461082,0.000461082
20,1748.72,1.44692,1.44709,1.55021,0.95713,0.93447,0.96146,0.56136,1.3883,0.78623,1.35501,0.000456771,0.000456771,0.000456771
21,1838.89,1.43141,1.44675,1.54493,0.95272,0.89704,0.94872,0.57861,1.33754,0.88522,1.34923,0.000452255,0.000452255,0.000452255
22,1930.56,1.43601,1.43516,1.54838,0.9627,0.9163,0.95926,0.55992,1.3693,0.8729,1.3683,0.000447539,0.000447539,0.000447539
23,2020.69,1.43601,1.42644,1.54103,0.94074,0.90962,0.95777,0.57089,1.32435,0.88413,1.31872,0.000442629,0.000442629,0.000442629
24,2108.81,1.43216,1.40884,1.5327,0.9703,0.9322,0.96311,0.58471,1.29297,0.85802,1.30905,0.000437528,0.000437528,0.000437528
25,2199.96,1.42387,1.42479,1.53345,0.98665,0.93663,0.96273,0.56706,1.34876,0.80728,1.34461,0.000432243,0.000432243,0.000432243
26,2289.12,1.43006,1.42229,1.53563,0.97336,0.94217,0.96261,0.57898,1.28653,0.77753,1.32291,0.000426777,0.000426777,0.000426777
27,2379.21,1.41914,1.40987,1.53211,0.98385,0.94354,0.96757,0.57707,1.32457,0.77022,1.32481,0.000421138,0.000421138,0.000421138
28,2465.31,1.40692,1.37835,1.5061,0.98299,0.94683,0.96414,0.57449,1.30097,0.79939,1.32797,0.000415329,0.000415329,0.000415329
29,2554.73,1.41544,1.38624,1.52579,0.96359,0.94832,0.96269,0.57746,1.31772,0.79055,1.3382,0.000409357,0.000409357,0.000409357
30,2642.24,1.39362,1.3658,1.49933,0.97833,0.94163,0.96927,0.62025,1.21192,0.74137,1.26974,0.000403228,0.000403228,0.000403228
31,2731.5,1.3975,1.37451,1.51393,0.97959,0.93977,0.96663,0.61493,1.21672,0.76295,1.2744,0.000396947,0.000396947,0.000396947
32,2818.9,1.38834,1.38281,1.5015,0.98049,0.93878,0.96045,0.55816,1.34118,0.79418,1.35244,0.000390522,0.000390522,0.000390522
33,2906.63,1.39102,1.35862,1.50396,0.98126,0.94185,0.96427,0.59792,1.23194,0.72576,1.27247,0.000383958,0.000383958,0.000383958
34,2990.86,1.38778,1.36651,1.50396,0.97426,0.94485,0.96568,0.63954,1.17885,0.74688,1.24305,0.000377262,0.000377262,0.000377262
35,3074.37,1.37436,1.35211,1.48698,0.98226,0.94162,0.96481,0.59551,1.29463,0.75508,1.29445,0.00037044,0.00037044,0.00037044
36,3159.78,1.35461,1.33697,1.48428,0.97336,0.94951,0.96803,0.59544,1.24153,0.73508,1.26532,0.000363499,0.000363499,0.000363499
37,3243.34,1.37859,1.34424,1.49379,0.99216,0.94272,0.96759,0.63207,1.20227,0.77821,1.26599,0.000356446,0.000356446,0.000356446
38,3329.45,1.36541,1.31476,1.47705,0.98221,0.94101,0.9629,0.57606,1.24098,0.75333,1.28779,0.000349288,0.000349288,0.000349288
39,3413.46,1.36146,1.32577,1.47997,0.99168,0.93817,0.9661,0.59372,1.29306,0.75184,1.29621,0.000342033,0.000342033,0.000342033
40,3500.9,1.3553,1.32264,1.48356,0.99114,0.94328,0.96509,0.56975,1.36023,0.78378,1.34686,0.000334686,0.000334686,0.000334686
